M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
6,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
7,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
8,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
12,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
18,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
24,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
36,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
40,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
42,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
48,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
56,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
60,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
66,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
72,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
80,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
84,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
88,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
90,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
96,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
104,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
108,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
112,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
114,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
120,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
132,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
136,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
138,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
144,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
152,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
156,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
160,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
162,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
168,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
176,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
180,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
184,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
186,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
192,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
200,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
204,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
208,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
210,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
216,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
224,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
228,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
232,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
234,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
240,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
