gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,512,6144,ck,8,3,4.7462,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.33,664.3,0.0
gfx950,256,1,576,6144,ck,8,3,4.7176,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.5,751.7,0.0
gfx950,256,1,1024,6144,ck,8,3,4.8883,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.57,1288.72,0.0
gfx950,256,1,2048,6144,ck,8,3,8.4247,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.99,1494.79,0.0
gfx950,256,1,3584,512,ck,8,0,3.3057,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.11,557.43,0.0
gfx950,256,1,4608,6144,ck,6,3,11.8758,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,4.77,2385.26,0.0
gfx950,256,1,6144,256,ck,8,0,2.8999,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.08,546.71,0.0
gfx950,256,1,6144,512,ck,8,0,3.9799,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.58,793.62,0.0
gfx950,256,1,6144,2304,ck,8,0,8.2322,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.44,1721.33,0.0
gfx950,256,1,6144,4096,ck,8,3,8.6498,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.82,2911.31,0.0
gfx950,256,1,6144,4608,ck,6,2,12.7177,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,4.45,2227.48,0.0
gfx950,256,1,9216,6144,ck,8,3,16.3905,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.91,3456.13,0.0001
gfx950,256,2,512,6144,ck,8,3,4.7993,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.62,658.44,0.0
gfx950,256,2,576,6144,ck,8,3,4.6655,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.03,761.66,0.0
gfx950,256,2,1024,6144,ck,8,3,6.5161,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.86,968.04,0.0
gfx950,256,2,2048,6144,ck,8,3,7.1127,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.08,1771.96,0.0012
gfx950,256,2,3584,512,ck,8,0,3.3421,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.2,553.65,0.0
gfx950,256,2,4608,6144,ck,8,3,11.9316,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.49,2375.4,0.0001
gfx950,256,2,6144,256,ck,8,0,2.8843,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.18,554.02,0.0
gfx950,256,2,6144,512,ck,8,0,3.9804,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.16,796.74,0.0
gfx950,256,2,6144,2304,ck,8,0,8.2933,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.83,1710.41,0.0
gfx950,256,2,6144,4096,ck,6,3,9.108,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,11.05,2766.64,0.0002
gfx950,256,2,6144,4608,ck,6,2,12.7208,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,8.9,2228.27,0.0
gfx950,256,2,9216,6144,ck,8,3,16.4729,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,13.75,3440.33,0.0001
gfx950,256,4,512,6144,ck,8,3,4.7831,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.26,663.67,0.0005
gfx950,256,4,576,6144,ck,13,3,6.4237,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,4.41,555.46,0.0
gfx950,256,4,1024,6144,ck,8,3,5.0292,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.01,1257.5,0.0002
gfx950,256,4,2048,6144,ck,8,3,7.0705,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,14.24,1785.43,0.0001
gfx950,256,4,3584,512,ck,8,0,3.553,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.13,525.11,0.0
